% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 9 2023, 17:38"
% Table,sweep10kd1 - 
% freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
9530,11000,-0.10459443190422997-0.3677469234662054i
9540,11000,-6.674921705436508E-4+0.0308594762044446i
9550,11000,-1.5608737817212676E-4+0.014761313504438366i
9560,11000,-6.938798084005092E-5+0.009517017495624275i
9570,11000,-4.025438133570014E-5+0.006835231396768873i
9580,11000,-2.7259719762114108E-5+0.0051489218015149316i
9590,11000,-2.0556017767514996E-5+0.003944507919999175i
9600,11000,-1.6863521350721367E-5+0.0030006688121218816i
9610,11000,-1.4868230973792901E-5+0.002202460771384447i
9620,11000,-1.4005629768323142E-5+0.00147928594179642i
9630,11000,-1.4074300036028934E-5+7.785570813559473E-4i
9640,11000,-1.512768919335997E-5+5.050136415143847E-5i
9650,11000,-1.7526611960627874E-5-7.661995899000389E-4i
9660,11000,-2.223220377303706E-5-0.001767887687568453i
9670,11000,-3.182207656155397E-5-0.003142308053779438i
9680,11000,-5.473174437853296E-5-0.005350262244120864i
9690,11000,-1.3282439225554082E-4-0.009985135146459078i
9700,11000,-9.11028552539614E-4-0.02941044421104799i
9710,11000,-0.0017117790809569758+0.03766766190173398i
9720,11000,-2.7751969573759503E-4+0.01650765062176538i
9730,11000,-6.824590655893362E-5+0.008928797350138008i
9740,11000,-3.466382917986635E-5+0.006142428973907885i
9750,11000,-2.2910798155071267E-5+0.004538518443781321i
9760,11000,-1.7981154201115028E-5+0.003402543122084885i
9770,11000,-1.6302492866395633E-5+0.0024634442365324707i
9780,11000,-1.7137210208035605E-5+0.0015616435020019829i
9790,11000,-2.1629163050518277E-5+5.285768124976655E-4i
9800,11000,-3.589480212432506E-5-9.81818626388785E-4i
9810,11000,-1.0179507528912127E-4-0.004336456403906524i
9820,11000,-0.003066345010694058-0.03603279307175481i
9830,11000,-2.2824749107205663E-4+0.012184346534245643i
9840,11000,-4.896264233306152E-5+0.00615597974449903i
9850,11000,-2.3752949021757598E-5+0.004287207899834237i
9860,11000,-1.592766542495336E-5+0.0032871703504404833i
9870,11000,-1.2772272788057868E-5+0.0026098643100193274i
9880,11000,-1.149208097003203E-5+0.002082720067875912i
9890,11000,-1.1240202710236317E-5+0.0016304918468119877i
9900,11000,-1.1771743888615963E-5+0.0012108865097189604i
9910,11000,-1.3143606664028598E-5+7.924359193950361E-4i
9920,11000,-1.5719990786118618E-5+3.4251874254063715E-4i
9930,11000,-2.0451066031856057E-5-1.858146455640707E-4i
9940,11000,-2.989324891329317E-5-8.81798247264771E-4i
9950,11000,-5.259676822218608E-5-0.001966732121408702i
9960,11000,-1.3312108366591395E-4-0.004235595421281027i
9970,11000,-0.0010861775387625964-0.014628902398873116i
9980,11000,-0.0011407717604373202+0.016854891315538523i
9990,11000,-1.2255266924180683E-4+0.0058493104294833915i
10000,11000,-4.4993428507174535E-5+0.003538691761920957i
