% Model,Trumpet_3.mph
% Version,COMSOL 6.1.0.357
% Date,"Jan 15 2024, 11:44"
% Table,Probe Table 1 - 
% freq (Hz),"Total acoustic pressure (Pa), input pressure","Total acoustic velocity, z-component (m^3/s), input velocity","10*log10(abs(acpr.p_t/acpr.v_tz)), impedance"
710.9150326797385,15.379360293563067-0.560955267301519i,1.8195869199709881E-9+4.9458588577360256E-8i,40.553204094897126
716.078431372549,15.37832108785153-0.5749810218447858i,1.9108253664129333E-9+5.068492319544275E-8i,40.444267027267415
721.2418300653594,15.377261630580847-0.5889370228727725i,2.0038335911722367E-9+5.190518091211334E-8i,40.3386373664107
726.4052287581699,15.376182187161453-0.6028248598734075i,2.098588478001344E-9+5.311950022638398E-8i,40.236117050731345
731.5686274509803,15.375082982872167-0.6166460809159822i,2.1950704076290633E-9+5.4328016027134965E-8i,40.13652557563924
736.7320261437908,15.373964205727058-0.6304021822468737i,2.2932630075094113E-9+5.553085868667546E-8i,40.03969799081288
741.8954248366013,15.372826013831945-0.6440945999099027i,2.3931525104265464E-9+5.672815333115394E-8i,39.94548318524826
747.0588235294117,15.371668545793918-0.6577247050255103i,2.4947268471988736E-9+5.792001942898069E-8i,39.85374239724833
752.2222222222222,15.370491932317378-0.6712938033946451i,2.597974636164691E-9+5.910657075713928E-8i,39.764347904837464
757.3856209150326,15.369296307211172-0.684803139277044i,2.702884224122517E-9+6.02879157305211E-8i,39.67718186616719
762.5490196078431,15.368081816478867-0.6982539025124047i,2.809442894468359E-9+6.146415802338502E-8i,39.59213528950308
767.7124183006536,15.366848624672603-0.7116472380517708i,2.9176363138303464E-9+6.263539739935878E-8i,39.50910711741826
772.875816993464,15.365596918100193-0.7249842568128071i,3.0274482530219805E-9+6.38017306579814E-8i,39.42800341350229
778.0392156862745,15.364326904675874-0.7382660470075709i,3.1388606004256504E-9+6.496325262147985E-8i,39.34873664114065
783.2026143790849,15.363038810337361-0.7514936849133116i,3.251853674615644E-9+6.61200570734998E-8i,39.27122502667369
788.3660130718954,15.361732872103513-0.7646682441009769i,3.3664068296485937E-9+6.727223756265385E-8i,39.19539200065395
793.5294117647059,15.360409328222577-0.7777908018025307i,3.48249931375454E-9+6.841988795717541E-8i,39.121165713965546
